"Collection Name","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Mammals",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Mammals and Birds Collection",,,,,,,,
"Mantodea",,,,,,,,
"Marine Forensics",,,,,,,,
"Marine Vertebrates Collection",,,,,,,,
"Mastozoologia",,"Av. 12 de Octubre 1076 y Roca","Edificio de Ciencias Bioligicas - Division Mastozoologia",,"Quito","Pichincha","EC170109","Ecuador"
"Mecoptera",,,,,,,,
"Mecoptera",,,,,,,,
"Medically-Important Samples - Biomaterials",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Medically-Important Samples - DNA",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Medically-Important Samples - Frozen",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Medically-Important Samples - Preserved in Liquid",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Megaloptera",,,,,,,,
"Megaloptera",,,,,,,,
"Microbial Repository (Bank A Bug Program)",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Microbial Strains selected for whole genome sequencing program",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Mollusca",,,,,,,,
"Mollusca",,"Zoologische Staatssammlung Muenchen","Die Sektion Mollusca","Muenchhausenstrasse 21","81247 Muenchen",,,"Germany"
"Mollusca - Fehr-de Wal collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Mollusca - H.L. Strack collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Mollusca - Kaas collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Mollusca - micromollusc collection of Aartsen from Dieren",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Mollusca - P.H. Creutzberg collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Mollusca collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Mollusca ex-coll. Danker Vink",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Molluscs",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Molluscs (second volume)",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Mollusk Bivalve Species Collection",,,,,,,,
"Monocotyledons",,"University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia"
"Monoplachophoroa",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Mycological Collection",,"Department of Plant Biology and Pathology","Attn: James White, Rutgers University","Foran Hall, 59 Dudley Road","New Brunswick","NJ","8901","USA"
"Mycological Herbarium",,"5 Kreutzwaldi Str.",,,"Tartu","not applicable","51014","Estonia"
"Mycology Collection",,,,,,,,
"Myxomycetes (Enric Gracia Myxomycete Collection)","Enric Gracia","Enric Gracia Myxomycete Collection","Carretera de Ribes, 22",,"Planoles","Girona","17535","Spain"
"National Fish Collection",,"P.O. Box 37012, MRC-105",,,"Washington","DC","20013-7012","USA"
"Nematoda",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Nemertini",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Neuroptera",,,,,,,,
"Neuroptera",,,,,,,,
"New Zealand Arthropod Collection",,"New Zealand Arthropod Collection","Landcare Research","Private Bag 92170, Auckland Mail Centre",,"Auckland 1142",,"New Zealand"
"New Zealand Fungal and Plant Disease Herbarium","Eric McKenzie","NZ Fungal Herbarium - PDD","Landcare Research","Private Bag 92170, Auckland Mail Centre",,"Auckland","1142","New Zealand"
"Northofagus Project",,,,,,,,
"NT Herbarium, Alice Springs",,"PO Box 1120",,,"ALICE SPRINGS","Northern Territory","871","Australia"
"Odonata",,,,,,,,
"Odonata",,,,,,,,
"Oligochaeta",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Onychophora",,,,,,,,
"Opilioacariformes",,,,,,,,
"Opiliones",,,,,,,,
"Ornithology",,,,,,,,
"Ornithology",,"Department of Natural History","100 Queen's Park",,"Toronto","Ontario","M5S 2C6","Canada"
"Ornithology",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Ornithology - Donald Thompson Collection",,,,,,,,
"Ornithology - Eggs",,,,,,,,
"Ornithology - H.L. White Collection",,,,,,,,
"Ornithology Collection",,"Santa Barbara Museum of Natural History","2559 Puesta del Sol",,"Santa Barbara","CA","91305","USA"
"Ornithology Collection","Ben Marks","Field Museum of Natural History - Zoology","1400 S. Lake Shore Dr",,"Chicago","IL","60605-2496","USA"
"Ornithology Collection","Mark Robbins","Biodiversity Institute","Dyche Hall","1345 Jayhawk Boulevard","Lawrence","KS","66045","USA"
"Ornithology Research Collection",,"Michigan State University Museum","Division of Natural Sciences","West Circle Drive","East Lansing","MI","48824-1045","USA"
"Orthoptera",,,,,,,,
"Orthoptera",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario Kn 5.5, C.P.","Chetumal","Q.R.","77014","Mexico"
"Ostracoda (Freshwater)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Ostracoda (Marine)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Other Arthropods",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Other insects and all other arthropods Collection",,,,,,,,
"Paleobotany Collection","Rudolph Serbet","Biodiversity Institute","Haworth Hall","1200 Sunnyside Drive","Lawrence","KS","66045","USA"
"Paleontological Collection",,"Institute of Geology at TUT","Ehitajate tee 5",,"Tallinn","n/a","19086","Estonia"
"Paleontology & Paleobotany",,,,,,,,
"Palpigradi",,,,,,,,
"Parasite - Lice collection - Utrecht",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Parasite Collection, Museum of Southwestern Biology","Sara Brant","Museum of Southwestern Biology","MSC03 2020","1 University of New Mexico","Albuquerque","New Mexico","87131-0001","USA"
"Parasitiformes",,,,,,,,
"Pauropoda",,,,,,,,
"Pelagic Invertebrates Collection",,,,,,,,
"Pesces",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico"
"Phanerogames",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Phanerogames (Freshwater)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Phasmatodea",,,,,,,,
"Phoronida",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Phthiraptera",,,,,,,,
"Pisces",,,,,,,,
"Pisces (fish)",,"Lars Thorings vei 10",,,"Tromso","Troms","9037","Norway"
"Pisces (Freshwater)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Pisces (Marine)",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Pisces collection",,"Postbus 9517,",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Plants",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Plants (second volume)",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Platydesmida",,,,,,,,
"Platyhelminthes",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Plecoptera",,,,,,,,
"Plecoptera",,"Colorado State University","Department of Bioagricultural Sciences and Pest Management",,"Fort Collins","Colorado","80523","USA"
"Polychaeta",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Polydesmida",,,,,,,,
"Polyplacophora",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Polyxenida",,,,,,,,
"Polyzoniida",,,,,,,,
"Porifera",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Porifera",,,,,,,,
"Porifera collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Priapulida",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Prostate Cancer",,"5010 units","Catholic Research Institutes of Medical Science 505","Banpo-dong","Seocho-gu","Seoul","137-040","Korea"
"Protochordata",,,,,,,,
"Protozoa",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Protozoa collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Protura",,,,,,,,
"Pseudoscorpionida",,,,,,,,
"Psocoptera",,,,,,,,
"Pteridophytes",,"University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia"
"Pteridophytes and Monocotyledons",,"Herbarium","Botanische Staatssammlung München","Menzinger Straße 67","München",,"D-80638","Germany"
"Pycnogonida",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Raphidioptera",,,,,,,,
"Reptiles",,"Museo de Zoologia","Pontificia Universidad Catolica del Ecuador",,"Quito","Pichincha","NA","Ecuador"
"Reptiles & Amphibians",,"Manchester Museum","University of Manchester","Oxford Road","Manchester","England","M13 9PL","United Kingdom"
"Reptilia",,,,,,,,
"Reptilia",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Reptilia and Amphibia collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Ricinulei",,,,,,,,
"Roscoff Culture Collection",,"Station Biologique de Roscoff","Place G. Teissier",,"Roscoff",,"29682","France"
"Rotifera",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Scaphopoda",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Schizomida",,,,,,,,
"Scolopendrida",,,,,,,,
"Scorpiones",,,,,,,,
"Scorpionidae",,"El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario Kn 5.5, C.P.","Chetumal","Q.R.","77014","Mexico"
"Scutigerida",,,,,,,,
"Shark Species Collection",,,,,,,,
"Shrimps, Lobsters & Crabs Collection",,,,,,,,"Italy"
"Siphonaptera",,,,,,,,
"Siphonphophorida",,,,,,,,
"Sipuncula",,,,,,,,
"Sipuncula",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Solenogastres",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Solpugida",,,,,,,,
"Sphaerotheriida",,,,,,,,
"Spirobolida",,,,,,,,
"Spirostreptida",,,,,,,,
"Stanford Amphibians",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Stanford Reptiles",,"California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA"
"Stemmiulida",,,,,,,,
"Strepsiptera",,,,,,,,
"Symphyla",,,,,,,,
"Technische Hoogeschool Delft - KA-collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Technische Hoogeschool Delft, collection with yellow numbers",,"Postbus 9715",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Technische Hoogeschool Delft, Historical Geology Collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Technische Hoogeschool Delft, Nederland Collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Technische Hoogeschool Delft, Palaeontological Collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"The Frozen Zoo",,,,,,,,
"The University of Alabama Herbarium",,"Department of Biological Sciences","Box 870345",,"Tuscaloosa","AL","35487","USA"
"Thysanoptera",,,,,,,,
"Thysanura (Zygentoma)",,,,,,,,
"Trichoptera",,,,,,,,
"Trichoptera",,"Colorado State University","Department of Bioagricultural Sciences and Pest Management",,"Fort Collins","Colorado","80523","USA"
"Trichoptera",,,,,,,,
"Tunicata",,"Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Universiteit van Amsterdam, Mineralogy and Palaeontology collections",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"University of Alabama Herpetological Collection",,"Box 870345 MHB Hall","Hackberry Lane","University of Alabama","Tuscaloosa","AL","35487","USA"
"University of Alabama Ichthyological Collection",,"Department of Biological Sciences","Box 870345","University of Alabama","Tuscaloosa","Alabama","35487-0345","USA"
"University of Alaska Museum Herpetology Collection",,,,,,,,
"University of Alaska Museum Insect Collection","Derek Sikes","907 Yukon Dr","University of Alaska Museum",,"Fairbanks","AK","99775-6960","USA"
"University of Alaska Museum Mammal Collection",,,,,,,,
"University of Guelph Insect Collection",,,,,,,,
"Urochordata collection (Tunicata)",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Uropygi",,,,,,,,
"Vascular Plant Collection","Jamie Minnaert-Grote","University of Illinois","Illinois Natural History Survey Herbarium","1816 South Oak Street","Champaign","IL","61820","USA"
"Vascular Plant Collection",,,,,,,,
"Vascular Plant Herbarium",,"181 Riia Str.",,,"Tartu","Not Applicable","51014","Estonia"
"Vertebrata",,,,,,,,
"Vertebrate and Invertebrate Zoology Collections",,"265 UCB (Zoology, Entomology, Paleo-Geology, Diatoms)",,,"Boulder","Colorado","80309","USA"
"Vertebrate Paleontology Collection","Desui Miao","Biodiversity Institute","Dyche Hall","1345 Jayhawk Boulevard","Lawrence","KS","66045","USA"
"Vertebrate Paleontology Research Collection",,"Michigan State University Museum","Division of Natural Sciences","West Circle Drive","East Lansing","MI","48824-1045","USA"
"Vertebrate Tissue Bank",,,,,,,,
"Washington State Department of Agriculture Collection",,"1111 Washington St SE","2nd Floor",,"Olympia","WA","98504","USA"
"Wasp Collection",,,,,,,,
"Wildlife Species - Biomaterials",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Wildlife Species - DNA",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Wildlife Species - Dried",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Wildlife Species - Frozen",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"Wildlife Species - Preserved in Liquid",,"Gujarat State Biotechnology Mission","9/11 Udyog Bhavan",,"Gandhinagar","Gujarat","382011","India"
"World Heritage Trichoptera Collection",,,,,,,,
"Worms - Utrecht collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"Worms collection",,"Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands"
"ZooPlantLab laboratory tissue and DNA collection",,"Piazza della Scienza, 2",,,"Milano","Lombardia","20126","Italy"
"Zoraptera",,,,,,,,
"Seção de Entomologia da Coleção Zoológica","Fernando Zagury Vaz de Mello","Seção de Entomologia da Coleção Zoológica - DBZ","Instituto de Biociencias - Universidade Federal de Mato Grosso","Av Fernando Correa s/n, Boa Esperança","Cuiaba","Mato Grosso","78060-900","Brazil"
"University of Georgia Collection of Arthropods","Joseph V. McHugh","UGA Collection of Arthropods","Natural History Museum Building","University of Georgia","Athens","Georgia","30602-7882","USA"
"Illinois Natural History Survey Insect Collection","Christopher C. Grinter","Illinois Natural History Survey","1816 S. Oak st.",,"Champaign","IL","61820","USA"
"Mammalia, Amphibia & Reptilia","Karl Frafjord, Leader of Natural Sciences",,,,,,,"Norway"
"Annelida","Karl Frafjord, Leader of Natural Sciences",,,,,,,"Norway"
"Foraminifere and other Protozoa","Karl Frafjord, Leader of Natural Sciences",,,,,,,"Norway"
"Radiata","Karl Frafjord, Leader of Natural Sciences",,,,,,,"Norway"
"Tunicata","Karl Frafjord, Leader of Natural Sciences",,,,,,,"Norway"
"Various mainly terrestrial groups incl. Hymenoptera","Karl Frafjord, Leader of Natural Sciences",,,,,,,"Norway"
"Various marine groups incl. Porifera","Karl Frafjord, Leader of Natural Sciences",,,,,,,"Norway"
"Illinois Natural History Survey Fish Collection",,"Illinois Natural History Survey","1816 S. Oak. St.",,"Champaign","Illinois","61820","USA"
"Illinois Natural History Survey Amphibian and Reptile Collection","Christopher Phillips","Illinois Natural History Survey","1816 S. Oak St.",,"Champaign","Illinois","61820","USA"
"Illinois Natural History Survey Mollusk Collection","Kevin Cummings","Illinois Natural History Survey","607 E. Peabody Dr.",,"Champaign","IL","61820","USA"
"Ichthyology Collection","Dr. Alfred W. Thomson","Same as repository",,,"Saint Petersburg","Florida","33701","USA"
"Paleontological collection","Marco Pavia","Dipartimento di Scienze della Terra","Via Valperga Caluso, 35",,"Torino",,"10125","Italy"
"Center for the Environmental Management of Military Lands","Nancy E. Hastings, Curator","Herbarium, Center for Environmental Management of Military Lands","Colorado State University","1490 Campus Delivery","Fort Collins","Colorado","80523-1490","USA"
"ZFMK DNA Bank (part of ZFMK Biobank)","Jonas Astrin","Zoologisches Forschungsmuseum A. Koenig","Biobank","Adenauerallee 160","Bonn",,"D-53113","Germany"
"ZFMK Tissue Bank (part of ZFMK Biobank)","Jonas Astrin","Zoologisches Forschungsmuseum A. Koenig","Biobank","Adenauerallee 160","Bonn",,"D-53113","Germany"
"Frank F. Hasbrouck Insect Collection",,,,,,"Arizona",,"USA"
"Invertebrate Zoology",,"Carnegie Museum of Natural History","Section of Invertebrate Zoology","4400 Forbes Avenue","Pittsburgh","PA","15213-4080","USA"
"Insect Collection","Ahmet Ömer Koçak","cesa_tr@yahoo.com.tr",,,"Ankara","Ankara",,"Turkey"
"Insect Collection of the Department of Biology","Muhabbet Kemal Koçak","mkemalkocak@yyu.edu.tr","muhabbet_kemal@yahoo.com.tr",,,"Van",,"Turkey"
"Entomology Collection","Zack Falin","Biodiversity Institute","Public Safety Building","1501 Crestline Drive, Suite 140","Lawrence","KS","66045","USA"
"Amphibian Collection","John P. Friel","Cornell Univeristy Museum of Vertebrates","159 Sapsucker Woods Road",,"Ithaca",,"NY","USA"
"Reptile Collection","John P. Friel","Cornell Univeristy Museum of Vertebrates","159 Sapsucker Woods Road",,"Ithaca","NY","14850-1923","USA"
"Bird Collection","Charles Dardia, Collections Manager","Cornell University Museum of Vertebrates","159 Sapsucker Woods Road",,"Ithaca","NY","14850-1923","USA"
"Colorado Plateau Museum of Arthropod Biodiversity","Neil Cobb","Colorado Plateau Museum of Arthropod Biodiversity Department of Biological Sciences","PO Box: 5640",,"Flagstaff","AZ","86011-5640","USA"
"Herpetology","Bryan Stuart","11 West Jones Street",,,"Raleigh","NC","27601","USA"
"Invertebrates","Jamie Smith","11 West Jones Street",,,"Raleigh","NC","27601","USA"
"Fishes","Gabriela Hogue","11 West Jones Street",,,"Raleigh","NC","27601","USA"
"TARDIGRADES","Carl A. Johansson",,,,,,,"USA"
"Vertebrate Paleontology","Vince P. Schneider","11 West Jones Street",,,"Raleigh","NC","27601","USA"
"Invertebrate Paleontology","Patricia G. Weaver","11 West Jones Street",,,"Raleigh","NC","27601","USA"
"National Fish Collection","Roger Bills","Private Bag 1015",,,"Grahamstown","Eastern Cape","6140","South Africa"
"Amphibian Collection","Roger Bills","Private Bag 1015",,,"Grahamstown","Eastern Cape","6140","South Africa"
"Botanical Collections","Loore  Ehrlich","Toompuiestee 26",,,"Tallinn",,"10149","Estonia"
"Zoological Collections","Lennart Lennuk","Toompuiestee 26",,,"Tallinn",,"10149","Estonia"
"Geological Collections","Kairi Põldsaar","Estonian Museum of Natural History","29 a Lai Street",,"Tallinn",,"10149","Estonia"
"Mycological Collections","Loore  Ehrlich","Estonian Museum of Natural History","26 Toompuiestee",,"Tallinn",,"10149","Estonia"
"Plants, Fungi, Animals","Anita F. Cholewa","1987 Upper Buford Circle",,,"St. Paul","Minnesota","55108","USA"
"Entomology","Dr Lara Harrup","The Pirbright Institute","Ash Road","Pirbright","Woking","Surrey","GU240NF","United Kingdom"
"Pacific Center for Molecular Biodiversity","Shelley A. James","Bishop Museum","Pacific Center for Molecular Biodiversity","1525 Bernice St","Honolulu","Hawaii","96744","USA"
"PaleoBotany","Vince P. Schneider","11 West Jones Street",,,"Raleigh","NC","27601","USA"
"Mammals","Benjamin M. Hess","11 West Jones Street",,,"Raleigh","NC","27601","USA"
"Birds","Brian O’Shea","11 West Jones Street",,,"Raleigh","NC","27601","USA"
"Bird","Jean Woods","P.O. Box 3937",,,"Wilmington","Delaware","19807-0937","USA"
"Egg","Jean Woods","P.O. Box 3937",,,"Wilmington","Delaware","19807-0937","USA"
"Sagehen Basin Vertebrates","Jeff Brown",,,,"Truckee","CA","96160","USA"
"Sagehen Basin Insects","Jeff Brown",,,,"Truckee","CA","96160","USA"
"CIAT Arthropod Reference Collection","Aymer Andres Vasquez-Ordonez","Km 17, Recta Cali-Palmira",,,"Palmira","Valle del Cauca","6713","Colombia"
"Entomology","Peter T Oboyski","1101 Valley Life Science Building",,,"Berkeley","California","94720-4780","USA"
"California Insect Survey","Peter T Oboyski","1101 Valley Life Science Building",,,"Berkeley","California","94720-4780","USA"
"Invertebrate Collection","Roger Bills","Private Bag 1015",,,"Grahamstown","Eastern Cape","6140","South Africa"
"Institute of Primate Research","Hastings Ozwara","Box 24481",,,"Karen, Nairobi","Nairobi","00502","Kenya"
"Mammalogy","Bernard Agwanda","Box 40658",,,"Nairobi","Nairobi","00100","Kenya"
"Ornithology","Peter Njoroge","Box 40658",,,"Nairobi","Nairobi","00100","Kenya"
"Osteology","Ogeto Mwebi","Box 40658",,,"Nairobi","Nairobi","00100","Kenya"
"Herpetology","Patrick Malonza","Box 40658",,,"Nairobi","Nairobi","00100","Kenya"
"Ichthyology","Dorothy Nyingi","Box 40658",,,"Nairobi","Nairobi","00100","Kenya"
"Invertebrate","Laban Njoroge","Box 40658",,,"Nairobi","Nairobi","00100","Kenya"
"Colección de Insectos","PATRICIA EDITH ESTRADA MANCILLA",,,,,,,"Chile"
"Fungal Collection, Plant Pathology Laboratory, UMSNH.","Gerardo Rodriguez-Alvarado","Apdo. Postal # 43","Admon. Chapultepec",,"Morelia","Michoacan","58262","Mexico"
"National Collection of Insects","Rosalind Urban",,,,,,,"South Africa"
"Shortridge Mammal Collection","Buyiswa Mahala","Cnr Albert and Alexandra Road",,,"King William's Town","Eastern Cape",,"South Africa"
"Fish Observation Collection","Roger Bills",,,,,,,"South Africa"
"Tissue Collection","Roger Bills",,,,,,,"South Africa"
"East African Herbarium","Itambo Malombe","Museum hill rd Box 40658-00100","Kipande/Ngara road junction",,"Nairobi","Nairobi","00100","Kenya"
"Mammal Collection","Onica Mukhuwana",,,,,,,"South Africa"
"Fish Collection","David C. Werneke","101 Rouse Life Sciences","Biological Sciences",,"Auburn University","AL","36849","USA"
"Ichthyology","Richard L. Pyle","Ichthyology","Bishop Museum","1525 Bernice Street","Honolulu","Hawaii","96817","USA"
"Michigan State University herbarium Lichen Collection","Alan M. Fryday",,,,,,,"USA"
"Michigan State University Beal-Darlington Herbarium","Alan M. Fryday",,,,,,,"USA"
"Insect reference Collection","Charles R Bartlett","University of Delaware","Department of Entomology and Wildlife Ecology","531 S College Ave., 250 Townsend Hall","Newark","Delaware","19716","USA"
"Invertebrate Paleontology","Alycia Stigall","Department of Geological Sciences","316 Clippinger Laboratories",,"Athens","Ohio","45701","USA"
"Culture Collection of Fungi","Alena Kubátová","Department of Botany, Faculty of Science, Charles University in Prague, Benátská 2",,,"Prague 2",,"CZ - 128 01","Czech Republic"
"NIWA Invertebrate Collection","Kareen Schnabel, Collection Manager","NIWA Invertebrate Collection","Coasts and Oceans","Private Bag 14901, Kilbirnier","Wellington",,"6241","New Zealand"
"Invertebrados","Alvar Carranza",,,,,,,"Uruguay"
"Barcode of Wildlife Project","Kim Labuschagne","NZG Biobank","P O Box 754","Pretoria","Pretoria","Gauteng","Yes","South Africa"
"Sharks Genetic Samples","Sabine Wintner","KwaZulu-Natal Sharks Board","1a Herrwood Drive","Umhlanga Rocks","Durban","Kwazulu-Natal Sharks Board","4320","South Africa"
"Vertebrae of Sharks","Sabine Wintner","KwaZulu-Natal Sharks Board","1am Herrwood Drive","Umhlanga Rocks","Durban","KwaZulu Natal","4320","South Africa"
"Shark Jaws","Kolobe Lucas Mmonwa","KwaZulu-Natal Sharks Board","1a Herrwood Drive","Umhlanga Rocks","Durban","KwaZulu-Natal","4320","South Africa"
"Rays and Turtles","Sabine Wintner","KwaZulu-Natal Sharks Board","1a Herrwood Drive","Umhlanga Rocks","Durban","KwaZulu-Natal","4320","South Africa"
"University of Alaska Museum Earth Science Collection","Julie Rousseau","907 Yukon Drive",,,"Fairbanks","AK","99775","USA"
"saffron germplasm of Iran","Majid Shokrpour",,,,,,,"Iran"
"Bird collection","Lars Erik Johannessen","DNA Bank","P.O. Box 1172 Blindern","Natural History Museum, Att.: Lars Erik Johannessen,","Oslo",,"NO-0318","Norway"
"Lichen herbarium","Einar Timdal","Lichen herbarium","PO Box 1172 Blindern",,"Oslo",,"NO-0318","Norway"
"Lichen herbarium","Tor Tønsberg","Lichen herbarium","Allégt. 41","PO Box 7800","Bergen",,"5020","Norway"
"Mammals","Enrique Gonzalez","25 de Mayo 582","Casilla de Correo 399",,"Montevideo","Montevideo",,"Uruguay"
"Palentology","Andrés Rinderknecht","25de Mayo 582",,,"Montevideo",,,"Uruguay"
"TMM Collections at the Vertebrate Paleontology Laboratory","J. Chris Sagebiel","Vertebrate Paleontology Laboratory (VPL)","J.J. Pickle Research Campus","10100 Burnet Road, Building 6","Austin","Texas","78758","USA"
"Fungal endophytes Collection of the Research Group of Agronomy","Oscar Santamaria","Escuela de Ingenierias Agrarias. Avda Adolfo Suárez s/n",,,"Badajoz","Badajoz","06007","Spain"
"Ornithology","Washington Jones",,,,,,,"Uruguay"
"UPRRP Zoological Museum","James Ackerman","Department of Biology","University of Puerto Rico","PO Box 23360","San Juan","Puerto Rico","00931-3360","USA"
"Kathryn Kalmbach Herbarium","Richard Allman Levy","Denver Botanic Gardens","Kathryn Kalmbach Herbarium","1005 York Street","Denver","Colorado","80206","USA"
"Sam Mitchel Herbarium of Fungi","Richard Allman Levy","Denver Botanic Gardens","Sam Mitchel Herbarium of Fungi","1005 York Street","Denver","Colorado","80206","USA"
"Denver Botanic Gardens Collection of Arthropods","Richard Allman Levy","Denver Botanic Gardens","Kathryn Kalmbach Herbarium","1005 York Street","Denver","Colorado","80206","USA"
"Federal Moon Rocks","Leigh Aatest","123 Reeves Street",,,"Truro","Virginia","10120","USA"
"Amphibian and Reptile Collection","Cindy Paszkowski",,,,,,,"Canada"
"Ichthyology Collection","Alison Murray",,,,,,,"Canada"
"Division of Genomic Resources, Museum of Southwestern Biology","Mariel L. Campbell","Division of Genomic Resources","Museum of Southwestern Biology","1 University of New Mexico, MSC-03 2020","Albuquerque","NM","87131","USA"
